apoptotic process,GO:0006915
axon development,GO:0061564
cortical actin cytoskeleton organization,GO:0030866
cortical cytoskeleton organization,GO:0030865
myelin maintenance,GO:0043217
neuron projection morphogenesis,GO:0048812
paranodal junction assembly,GO:0030913
paranodal junction maintenance,GO:1990227
protein localization to juxtaparanode region of axon,GO:0071205
protein localization to paranode region of axon,GO:0002175
protein localization to plasma membrane,GO:0072659
regulation of cell shape,GO:0008360
axonal fasciculation,GO:0007413
blastocyst formation,GO:0001825
cardiac epithelial to mesenchymal transition,GO:0060317
cell adhesion involved in sprouting angiogenesis,GO:0120078
cell migration involved in vasculogenesis,GO:0035441
cellular response to hypoxia,GO:0071456
central nervous system vasculogenesis,GO:0022009
cerebral cortex radial glia-guided migration,GO:0021801
endoplasmic reticulum tubular network formation,GO:0071787
endoplasmic reticulum tubular network membrane organization,GO:1990809
endoplasmic reticulum tubular network organization,GO:0071786
intracellular sphingolipid homeostasis,GO:0090156
leukocyte migration involved in inflammatory response,GO:0002523
modulation of chemical synaptic transmission,GO:0050804
negative regulation of amyloid-beta formation,GO:1902430
negative regulation of axon extension,GO:0030517
negative regulation of dendrite extension,GO:1903860
negative regulation of formation of growth cone in injured axon,GO:1905943
negative regulation of vasculogenesis,GO:2001213
nervous system development,GO:0007399
nuclear pore complex assembly,GO:0051292
positive regulation of angiogenesis,GO:0045766
positive regulation of artery morphogenesis,GO:1905653
positive regulation of collateral sprouting of injured axon,GO:0048694
positive regulation of epithelial cell migration,GO:0010634
positive regulation of ERBB3 signaling pathway,GO:1905580
positive regulation of hepatocyte proliferation,GO:2000347
positive regulation of macrophage cytokine production,GO:0060907
positive regulation of macrophage migration,GO:1905523
positive regulation of mammary gland epithelial cell proliferation,GO:0033601
positive regulation of neutrophil migration,GO:1902624
positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,GO:0051897
positive regulation of protein localization to endoplasmic reticulum,GO:1905552
positive regulation of Rac protein signal transduction,GO:0035022
positive regulation of toll-like receptor 9 signaling pathway,GO:0034165
protein localization to lysosome,GO:0061462
protein stabilization,GO:0050821
regulation of branching morphogenesis of a nerve,GO:2000172
regulation of cell migration,GO:0030334
regulation of nervous system development,GO:0051960
regulation of postsynapse assembly,GO:0150052
modification of postsynaptic structure,GO:0099010
regulation of synapse maturation,GO:0090128
signaling,GO:0023052
lipid tube assembly,GO:0060988
muscle cell differentiation,GO:0042692
negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,GO:1904878
negative regulation of potassium ion transmembrane transport,GO:1901380
negative regulation of transcription by RNA polymerase II,GO:0000122
negative regulation of ventricular cardiac muscle cell action potential,GO:1903946
nucleus localization,GO:0051647
positive regulation of actin filament polymerization,GO:0030838
positive regulation of apoptotic process,GO:0043065
positive regulation of astrocyte differentiation,GO:0048711
regulation of cell cycle process,GO:0010564
regulation of endocytosis,GO:0030100
regulation of heart rate by cardiac conduction,GO:0086091
regulation of neuron differentiation,GO:0045664
response to lipopolysaccharide,GO:0032496
synaptic vesicle endocytosis,GO:0048488
T-tubule organization,GO:0033292
axonogenesis,GO:0007409
dendrite development,GO:0016358
establishment of cell polarity,GO:0030010
microtubule bundle formation,GO:0001578
microtubule cytoskeleton organization,GO:0000226
regulation of protein localization,GO:0032880
acetylcholine receptor signaling pathway,GO:0095500
cellular response to insulin stimulus,GO:0032869
focal adhesion assembly,GO:0048041
insulin receptor signaling pathway,GO:0008286
positive regulation of D-glucose import,GO:0046326
positive regulation of glycogen biosynthetic process,GO:0045725
positive regulation of insulin receptor signaling pathway,GO:0046628
positive regulation of lipid biosynthetic process,GO:0046889
positive regulation of protein localization to plasma membrane,GO:1903078
regulation of skeletal muscle acetylcholine-gated channel clustering,GO:1904393
stress fiber assembly,GO:0043149
anterior commissure morphogenesis,GO:0021960
axon guidance,GO:0007411
branchiomotor neuron axon guidance,GO:0021785
chemorepulsion of branchiomotor axon,GO:0021793
cranial nerve morphogenesis,GO:0021602
embryonic heart tube development,GO:0035050
facial nerve morphogenesis,GO:0021610
facial nerve structural organization,GO:0021612
glossopharyngeal nerve morphogenesis,GO:0021615
maintenance of synapse structure,GO:0099558
motor neuron axon guidance,GO:0008045
postganglionic parasympathetic fiber development,GO:0021784
regulation of axon extension involved in axon guidance,GO:0048841
regulation of negative chemotaxis,GO:0050923
semaphorin-plexin signaling pathway,GO:0071526
sympathetic nervous system development,GO:0048485
sympathetic neuron axon guidance,GO:0097492
trigeminal nerve morphogenesis,GO:0021636
trigeminal nerve structural organization,GO:0021637
vagus nerve morphogenesis,GO:0021644
cell division,GO:0051301
cell migration,GO:0016477
establishment or maintenance of cell polarity,GO:0007163
exit from mitosis,GO:0010458
fibroblast migration,GO:0010761
Golgi organization,GO:0007030
meiotic cell cycle,GO:0051321
microtubule anchoring,GO:0034453
microtubule depolymerization,GO:0007019
microtubule nucleation,GO:0007020
microtubule organizing center organization,GO:0031023
mitotic spindle organization,GO:0007052
negative regulation of microtubule depolymerization,GO:0007026
regulation of microtubule-based process,GO:0032886
early endosome to recycling endosome transport,GO:0061502
microtubule-based movement,GO:0007018
positive regulation of mitotic cell cycle spindle assembly checkpoint,GO:0090267
regulation of vesicle-mediated transport,GO:0060627
associative learning,GO:0008306
homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007156
inhibitory synapse assembly,GO:1904862
positive regulation of synapse assembly,GO:0051965
positive regulation of synaptic transmission,GO:0050806
establishment of skin barrier,GO:0061436
hepatocyte growth factor receptor signaling pathway,GO:0048012
mitotic cytokinesis,GO:0000281
negative regulation of microtubule polymerization,GO:0031115
negative regulation of Rho protein signal transduction,GO:0035024
negative regulation of stress fiber assembly,GO:0051497
negative regulation of thrombin-activated receptor signaling pathway,GO:0070495
response to virus,GO:0009615
brain development,GO:0007420
cell adhesion,GO:0007155
negative regulation of neuron differentiation,GO:0045665
neuron projection development,GO:0031175
chemical synaptic transmission,GO:0007268
adult behavior,GO:0030534
regulation of exocytosis,GO:0017157
regulation of synaptic vesicle docking,GO:0099148
social behavior,GO:0035176
exocytosis,GO:0006887
negative regulation of cell adhesion,GO:0007162
negative regulation of protein tyrosine kinase activity,GO:0061099
positive regulation of protein tyrosine kinase activity,GO:0061098
regulation of dendritic spine morphogenesis,GO:0061001
regulation of synapse assembly,GO:0051963
substrate adhesion-dependent cell spreading,GO:0034446
corpus callosum development,GO:0022038
regulation of postsynaptic membrane neurotransmitter receptor levels,GO:0099072
retrograde dendritic transport,GO:0098934
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,GO:0007193
cellular response to electrical stimulus,GO:0071257
cytoskeleton organization,GO:0007010
negative regulation of dopamine receptor signaling pathway,GO:0060160
positive regulation of dendritic spine development,GO:0060999
positive regulation of filopodium assembly,GO:0051491
protein localization,GO:0008104
synapse maturation,GO:0060074
axo-dendritic transport,GO:0008088
intermediate filament bundle assembly,GO:0045110
intermediate filament cytoskeleton organization,GO:0045104
neurofilament cytoskeleton organization,GO:0060052
regulation of axon diameter,GO:0031133
axon extension,GO:0048675
cellular response to growth factor stimulus,GO:0071363
cellular response to peptide hormone stimulus,GO:0071375
developmental maturation,GO:0021700
establishment of monopolar cell polarity,GO:0061162
induction of synaptic plasticity by chemical substance,GO:0051915
intracellular transport,GO:0046907
microtubule-based process,GO:0007017
mitochondrion transport along microtubule,GO:0047497
negative regulation of intracellular transport,GO:0032387
odontoblast differentiation,GO:0071895
peripheral nervous system axon regeneration,GO:0014012
positive regulation of axon extension,GO:0045773
positive regulation of microtubule polymerization,GO:0031116
positive regulation of neuron differentiation,GO:0045666
response to carbohydrate,GO:0009743
response to estradiol,GO:0032355
response to insecticide,GO:0017085
response to mechanical stimulus,GO:0009612
