Q9WV92,E41L3_MOUSE,"Band 4.1-like protein 3 (4.1B) (Differentially expressed in adenocarcinoma of the lung protein 1) (DAL-1) (DAL1P) (mDAL-1) (Erythrocyte membrane protein band 4.1-like 3) [Cleaved into: Band 4.1-like protein 3, N-terminally processed]"
Q99P72,RTN4_MOUSE,Reticulon-4 (Neurite outgrowth inhibitor) (Nogo protein)
B1AZP2,DLGP4_MOUSE,Disks large-associated protein 4 (DAP-4) (PSD-95/SAP90-binding protein 4) (SAP90/PSD-95-associated protein 4) (SAPAP-4)
O08539,BIN1_MOUSE,Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Bridging integrator 1) (SH3 domain-containing protein 9)
P20357,MTAP2_MOUSE,Microtubule-associated protein 2 (MAP-2)
Q62417,SRBS1_MOUSE,Sorbin and SH3 domain-containing protein 1 (Ponsin) (SH3 domain protein 5) (SH3P12) (c-Cbl-associated protein) (CAP)
Q80UG2,PLXA4_MOUSE,Plexin-A4
Q8BRT1,CLAP2_MOUSE,CLIP-associating protein 2 (Cytoplasmic linker-associated protein 2)
Q8R1Q8,DC1L1_MOUSE,"Cytoplasmic dynein 1 light intermediate chain 1 (Dynein light chain A) (DLC-A) (Dynein light intermediate chain 1, cytosolic)"
Q9ER65,CSTN2_MOUSE,Calsyntenin-2
P54227,STMN1_MOUSE,Stathmin (Leukemia-associated gene protein) (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17)
Q69Z26,CNTN4_MOUSE,Contactin-4 (Brain-derived immunoglobulin superfamily protein 2) (BIG-2)
Q7TN29,SMAP2_MOUSE,Stromal membrane-associated protein 2 (Stromal membrane-associated protein 1-like)
Q9D415,DLGP1_MOUSE,Disks large-associated protein 1 (DAP-1) (Guanylate kinase-associated protein) (PSD-95/SAP90-binding protein 1) (SAP90/PSD-95-associated protein 1) (SAPAP1)
Q9Z2Q6,SEPT5_MOUSE,Septin-5 (Cell division control-related protein 1) (CDCrel-1) (Peanut-like protein 1)
Q9QWI6,SRCN1_MOUSE,SRC kinase signaling inhibitor 1 (SNAP-25-interacting protein) (SNIP) (p130Cas-associated protein) (p140Cap)
Q9QXL1,KI21B_MOUSE,Kinesin-like protein KIF21B (Kinesin-like protein KIF6)
Q9Z0P4,PALM_MOUSE,Paralemmin-1 (Paralemmin)
P08553,NFM_MOUSE,Neurofilament medium polypeptide (NF-M) (160 kDa neurofilament protein) (Neurofilament 3) (Neurofilament triplet M protein)
P14873,MAP1B_MOUSE,Microtubule-associated protein 1B (MAP-1B) (MAP1(X)) (MAP1.2) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]
Q61301,CTNA2_MOUSE,Catenin alpha-2 (Alpha N-catenin)
Q62261,SPTB2_MOUSE,"Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Embryonic liver fodrin) (Fodrin beta chain)"
Q69ZW3,EHBP1_MOUSE,EH domain-binding protein 1
Q8BHS8,SYBU_MOUSE,Syntabulin (Golgi-localized syntaphilin-related protein) (m-Golsyn) (Syntaxin-1-binding protein)
Q8C079,STRP1_MOUSE,Striatin-interacting protein 1 (Protein FAM40A)
Q8C6M1,UBP20_MOUSE,Ubiquitin carboxyl-terminal hydrolase 20 (EC 3.4.19.12) (Deubiquitinating enzyme 20) (Ubiquitin thioesterase 20) (Ubiquitin-specific-processing protease 20) (VHL-interacting deubiquitinating enzyme 2)
Q9QXZ0,MACF1_MOUSE,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/4 (Actin cross-linking family 7)"
Q9QYB8,ADDB_MOUSE,Beta-adducin (Add97) (Erythrocyte adducin subunit beta)
Q9Z2H5,E41L1_MOUSE,Band 4.1-like protein 1 (Erythrocyte membrane protein band 4.1-like 1) (Neuronal protein 4.1) (4.1N)
A2AP18,PLCH2_MOUSE,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-2) (Phosphoinositide phospholipase C-like 4) (PLC-L4) (Phospholipase C-like protein 4) (Phospholipase C-eta-2) (PLC-eta2)"
O35927,CTND2_MOUSE,Catenin delta-2 (Neural plakophilin-related ARM-repeat protein) (NPRAP) (Neurojungin)
P10637,TAU_MOUSE,Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)
Q3UNH4,GRIN1_MOUSE,G protein-regulated inducer of neurite outgrowth 1 (GRIN1)
Q6P4S6,SIK3_MOUSE,Serine/threonine-protein kinase SIK3 (EC 2.7.11.1) (Salt-inducible kinase 3) (SIK-3) (Serine/threonine-protein kinase QSK)
Q6PDG8,MON1A_MOUSE,Vacuolar fusion protein MON1 homolog A
Q80Z38,SHAN2_MOUSE,SH3 and multiple ankyrin repeat domains protein 2 (Shank2) (Cortactin-binding protein 1) (CortBP1)
Q8BHN0,PPM1L_MOUSE,Protein phosphatase 1L (EC 3.1.3.16) (Protein phosphatase 1-like) (Protein phosphatase 2C isoform epsilon) (PP2C-epsilon)
Q8K2C9,HACD3_MOUSE,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 3) (HACD3) (Butyrate-induced protein 1) (B-ind1) (Protein-tyrosine phosphatase-like A domain-containing protein 1)
Q8R0S2,IQEC1_MOUSE,IQ motif and SEC7 domain-containing protein 1
Q9ES28,ARHG7_MOUSE,Rho guanine nucleotide exchange factor 7 (Beta-Pix) (PAK-interacting exchange factor beta) (p85SPR)
O08919,NUMBL_MOUSE,Numb-like protein
